Tarih,NoktaId,NoktaTanimi,ParametreAdi,Birim,Deger,Standart
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,E.coli,Sayı/100 ml,0,0
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,E.coli,Sayı/100 ml,0,0
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Alüminyum (Al),µg/L,"9,08",200
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Demir (Fe),µg/L,"56,44",200
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,C.perfringens,Sayı/100 ml,0,0
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,C.perfringens,Sayı/100 ml,0,0
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Tuzluluk,%0,"0,1",---
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Toplam sertlik,Fr,32,---
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Koliform Bakteri, ,0,0
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Koliform Bakteri, ,0,0
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Arsenik (As),µg/L,"4,47",10
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,İletkenlik,µS/cm,636 (25 °C),2500
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Klorür (Cl⁻),mg/L,25,250
05.11.2025,2,Gaziler Cad. No:185 İtfaiye Önü,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,3,854 Sok No:51/A,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,3,854 Sok No:51/A,Koliform Bakteri, ,0,0
05.11.2025,3,854 Sok No:51/A,Koliform Bakteri, ,0,0
05.11.2025,3,854 Sok No:51/A,Tuzluluk,%0,"0,1",---
05.11.2025,3,854 Sok No:51/A,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,3,854 Sok No:51/A,Toplam sertlik,Fr,33,---
05.11.2025,3,854 Sok No:51/A,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,3,854 Sok No:51/A,Demir (Fe),µg/L,"54,35",200
05.11.2025,3,854 Sok No:51/A,Alüminyum (Al),µg/L,"9,40",200
05.11.2025,3,854 Sok No:51/A,Arsenik (As),µg/L,"4,15",10
05.11.2025,3,854 Sok No:51/A,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,3,854 Sok No:51/A,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,3,854 Sok No:51/A,Klorür (Cl⁻),mg/L,25,250
05.11.2025,3,854 Sok No:51/A,E.coli,Sayı/100 ml,0,0
05.11.2025,3,854 Sok No:51/A,E.coli,Sayı/100 ml,0,0
05.11.2025,3,854 Sok No:51/A,C.perfringens,Sayı/100 ml,0,0
05.11.2025,3,854 Sok No:51/A,C.perfringens,Sayı/100 ml,0,0
05.11.2025,3,854 Sok No:51/A,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,3,854 Sok No:51/A,İletkenlik,µS/cm,627 (25 °C),2500
05.11.2025,3,854 Sok No:51/A,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,4,Kazım Dirik Cad. No.46,Koliform Bakteri, ,0,0
05.11.2025,4,Kazım Dirik Cad. No.46,Koliform Bakteri, ,0,0
05.11.2025,4,Kazım Dirik Cad. No.46,E.coli,Sayı/100 ml,0,0
05.11.2025,4,Kazım Dirik Cad. No.46,E.coli,Sayı/100 ml,0,0
05.11.2025,4,Kazım Dirik Cad. No.46,Klorür (Cl⁻),mg/L,29,250
05.11.2025,4,Kazım Dirik Cad. No.46,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,4,Kazım Dirik Cad. No.46,Arsenik (As),µg/L,"4,02",10
05.11.2025,4,Kazım Dirik Cad. No.46,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,4,Kazım Dirik Cad. No.46,Demir (Fe),µg/L,"55,30",200
05.11.2025,4,Kazım Dirik Cad. No.46,Toplam sertlik,Fr,29,---
05.11.2025,4,Kazım Dirik Cad. No.46,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,4,Kazım Dirik Cad. No.46,C.perfringens,Sayı/100 ml,0,0
05.11.2025,4,Kazım Dirik Cad. No.46,C.perfringens,Sayı/100 ml,0,0
05.11.2025,4,Kazım Dirik Cad. No.46,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,4,Kazım Dirik Cad. No.46,İletkenlik,µS/cm,593 (25 °C),2500
05.11.2025,4,Kazım Dirik Cad. No.46,Tuzluluk,%0,0,---
05.11.2025,4,Kazım Dirik Cad. No.46,Nitrit (NO₂),mg/L,<0.13,"0,5"
05.11.2025,4,Kazım Dirik Cad. No.46,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,4,Kazım Dirik Cad. No.46,Alüminyum (Al),µg/L,"10,03",200
05.11.2025,4,Kazım Dirik Cad. No.46,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Koku, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Bulanıklık, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Koliform Bakteri, ,0,0
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Koliform Bakteri, ,0,0
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,pH, ,"7,5 (23 °C)","6,5-9,5"
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Demir (Fe),µg/L,"56,39",200
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Oksitlenebilirlik,mg/L O2,"0,6",5
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Arsenik (As),µg/L,"3,91",10
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,Renk, ,UYGUN,Tüketicilerce Kabul Edilebilir
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,E.coli,Sayı/100 ml,0,0
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,E.coli,Sayı/100 ml,0,0
05.11.2025,5,İzsu Narlıdere Teknik Amirlik,C.perfringens,Sayı/100 ml,0,0
