Tarih,NoktaAdi,ParametreAdiRaw,ParametreAdi,Birim,DegerRaw,Deger,DegerCensor,DegerLimit
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Alüminyum (Al),Alüminyum,μg/L,"9,86",9.86,,9.86
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Arsenik (As),Arsenik,μg/L,"5,30",5.3,,5.3
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Demir (Fe),Demir,μg/L,"17,08",17.08,,17.08
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Klorür (Cl⁻),Klorür,mg/L,28,28.0,,28.0
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Koku,Koku,nan,UYGUN,,ND,
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Renk,Renk,nan,UYGUN,,ND,
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Toplam sertlik,Toplam Sertlik,Fr,32,32.0,,32.0
2024-11-13,1643/7 Sok. No:8 Adalet Mah. - BAYRAKLI,Tuzluluk,Tuzluluk,%0,"0,1",0.1,,0.1
