Tarih,NoktaAdi,Alüminyum,Amonyum,Arsenik,Bulanıklık,C.Perfringens,Demir,E.Coli,Klorür,Koku,Koliform Bakteri,Nitrit,Oksitlenebilirlik,Renk,Tat,Toplam Sertlik,Tuzluluk,pH,İletkenlik,HealthFactor,FailFast,E.coli_score,Koliform Bakteri_score,C.Perfringens_score,Arsenik_score,Nitrit_score,Alüminyum_score,Demir_score,Amonyum_score,pH_score,Klorür_score,İletkenlik_score,Oksitlenebilirlik_score,Bulanıklık_score,Tat_score,Koku_score,Renk_score,Toplam Sertlik_score,Tuzluluk_score,RiskClass
2024-11-13,113/19 Sok. No:10 İzyuva,15.27,0.03,1.32,0.4,0.0,152.4,0.0,43.0,0.0,0.0,0.065,0.4,0.0,0.0,21.0,0.0,7.5,440.0,92.49322381199785,False,1.0,1.0,1.0,0.9119582396535071,0.9135565636727325,0.9543573501921409,0.278317846735208,0.965819256878299,1.0,0.8790421283996644,0.8756587579107851,0.9517265893076386,,1.0,1.0,1.0,,,Good
2024-11-13,1620/19 İle 1620/39 Sok. Kavsağı Cengizhan,3.88,0.03,2.76,0.6,0.0,25.9,0.0,33.0,0.0,0.0,0.065,0.4,0.0,0.0,36.0,0.1,7.5,724.0,95.31885690886111,False,1.0,1.0,1.0,0.7866508590669493,0.9135565636727325,0.9911821628091906,0.913955379771314,0.965819256878299,1.0,0.9119582396535071,0.7739740678271253,0.9517265893076386,,1.0,1.0,1.0,,,Good
2024-11-13,1643/7 Sok. No:8 Adalet Mah,4.11,0.03,2.64,0.4,0.0,22.23,0.0,33.0,0.0,0.0,0.065,0.6,0.0,0.0,36.0,0.1,7.4,725.0,95.44768659899749,False,1.0,1.0,1.0,0.797733149437881,0.9135565636727325,0.9905512536310593,0.9283705922294163,0.965819256878299,1.0,0.9119582396535071,0.7735993874850269,0.9214732732070515,,1.0,1.0,1.0,,,Good
2024-11-13,1754 Sok. No:25 Asm Mevlana,15.37,0.03,1.35,0.6,0.0,132.5,0.0,42.0,0.0,0.0,0.065,0.6,0.0,0.0,20.0,0.0,7.5,441.0,93.10923542887407,False,1.0,1.0,1.0,0.9095516763405914,0.9135565636727325,0.9539984308352205,0.38986904549949986,0.965819256878299,1.0,0.8824097975507483,0.8753195684080042,0.9214732732070515,,1.0,1.0,1.0,,,Good
2024-11-13,220 Sok. No:163/b Çamlıkule,17.03,0.03,1.26,0.2,0.0,68.38,0.0,43.0,0.0,0.0,0.065,0.4,0.0,0.0,21.0,0.0,7.5,445.0,95.31577271564242,False,1.0,1.0,1.0,0.9167384188127667,0.9135565636727325,0.9479738626974336,0.7241462317365256,0.965819256878299,1.0,0.8790421283996644,0.8739612745522589,0.9517265893076386,,1.0,1.0,1.0,,,Good
2024-11-13,3 İle 3/8 Sok. Kvs. Adatepe,15.29,0.03,1.21,0.4,0.0,69.79,0.0,43.0,0.0,0.0,0.065,0.6,0.0,0.0,20.0,0.0,7.5,444.0,95.28361130638254,False,1.0,1.0,1.0,0.9206873529985028,0.9135565636727325,0.9542856038254575,0.7173064867428661,0.965819256878299,1.0,0.8790421283996644,0.8743010778380531,0.9214732732070515,,1.0,1.0,1.0,,,Good
2024-11-13,3513 İle 3514 Sok. Kvs Levent,12.42,0.03,2.81,0.6,0.0,63.89,0.0,37.0,0.0,0.0,0.065,0.4,0.0,0.0,22.0,0.0,7.4,499.0,94.1963433276273,False,1.0,1.0,1.0,0.7820044723080589,0.9135565636727325,0.9643786872694798,0.7457368219488991,0.965819256878299,1.0,0.8990017012418676,0.8553918918870363,0.9517265893076386,,1.0,1.0,1.0,,,Good
2024-11-13,3948/6 Sok. No:2 C.çeşme,4.55,0.03,1.07,0.9,0.0,27.43,0.0,38.0,0.0,0.0,0.065,0.4,0.0,0.0,21.0,0.0,7.6,453.0,96.92041490640838,False,1.0,1.0,1.0,0.9315677951092687,0.9135565636727325,0.9893247591739247,0.907820367081088,0.965819256878299,1.0,0.8957172907543682,0.8712373719682388,0.9517265893076386,,1.0,1.0,1.0,,,Good
2024-11-13,4969 Sok. No:2/a Çamlık,3.85,0.03,0.99,0.9,0.0,24.26,0.0,38.0,0.0,0.0,0.065,0.6,0.0,0.0,20.0,0.0,7.6,456.0,97.00225196002378,False,1.0,1.0,1.0,0.9376606551883431,0.9135565636727325,0.99126391440354,0.9204513230200675,0.965819256878299,1.0,0.8957172907543682,0.8702134163299644,0.9214732732070515,,1.0,1.0,1.0,,,Good
2024-11-13,514 Sok.. No:3/a Beyazevler,3.93,0.03,1.05,0.6,0.0,29.78,0.0,37.0,0.0,0.0,0.065,0.6,0.0,0.0,20.0,0.0,7.6,457.0,96.82124147521506,False,1.0,1.0,1.0,0.9330998396232196,0.9135565636727325,0.9910456293830187,0.8982642391695502,0.965819256878299,1.0,0.8990017012418676,0.8698717978325641,0.9214732732070515,,1.0,1.0,1.0,,,Good
