Tarih,NoktaAdi,HealthFactor,FailFast,E.coli_score,Koliform Bakteri_score,C.Perfringens_score,Arsenik_score,Nitrit_score,Alüminyum_score,Demir_score,Amonyum_score,pH_score,Klorür_score,İletkenlik_score,Oksitlenebilirlik_score,Bulanıklık_score,Tat_score,Koku_score,Renk_score,Toplam Sertlik_score,Tuzluluk_score,RiskClass
2024-11-13,113/19 Sok. No:10 İzyuva,90.1530327984033,False,1.0,1.0,1.0,0.868,0.87,0.92365,0.238,0.94,0.8,0.8280000000000001,0.8240000000000001,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,1620/19 İle 1620/39 Sok. Kavsağı Cengizhan,89.9078061914697,False,1.0,1.0,1.0,0.724,0.87,0.9806,0.8705,0.94,0.8,0.868,0.7103999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,1643/7 Sok. No:8 Adalet Mah,89.85115857841035,False,1.0,1.0,1.0,0.736,0.87,0.97945,0.88885,0.94,0.8399999999999999,0.868,0.71,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,1754 Sok. No:25 Asm Mevlana,89.97679402812312,False,1.0,1.0,1.0,0.865,0.87,0.92315,0.3375,0.94,0.8,0.832,0.8236,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,220 Sok. No:163/b Çamlıkule,90.21312108805624,False,1.0,1.0,1.0,0.874,0.87,0.9148499999999999,0.6581,0.94,0.8,0.8280000000000001,0.822,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,3 İle 3/8 Sok. Kvs. Adatepe,90.04361518381967,False,1.0,1.0,1.0,0.879,0.87,0.92355,0.6510499999999999,0.94,0.8,0.8280000000000001,0.8224,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,3513 İle 3514 Sok. Kvs Levent,89.9648077371936,False,1.0,1.0,1.0,0.719,0.87,0.9379,0.68055,0.94,0.8399999999999999,0.852,0.8004,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,3948/6 Sok. No:2 C.çeşme,90.1928467756533,False,1.0,1.0,1.0,0.893,0.87,0.97725,0.86285,0.94,0.7600000000000001,0.848,0.8188,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,4969 Sok. No:2/a Çamlık,90.03211665332914,False,1.0,1.0,1.0,0.901,0.87,0.98075,0.8787,0.94,0.7600000000000001,0.848,0.8176,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,514 Sok.. No:3/a Beyazevler,90.01573169424677,False,1.0,1.0,1.0,0.895,0.87,0.98035,0.8511,0.94,0.7600000000000001,0.852,0.8172,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,52/74 İle 52/18 Sok. Kvs Esendere,89.87967163489478,False,1.0,1.0,1.0,0.8180000000000001,0.87,0.9223,0.492,0.94,0.72,0.848,0.8144,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,5777 İle 5780 Sok. Kvs. U. Mumcu,90.03698693398877,False,1.0,1.0,1.0,0.903,0.87,0.9788,0.8836999999999999,0.94,0.7600000000000001,0.848,0.8176,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,6730 Sok. No:6/a Yamaç Mah,89.73460860318005,False,1.0,1.0,1.0,0.726,0.87,0.97965,0.8973,0.94,0.8,0.872,0.7103999999999999,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,7191 Sok. No:1/a Doğançay,89.84473215391503,False,1.0,1.0,1.0,0.6950000000000001,0.87,0.9788,0.8948,0.94,0.8,0.868,0.71,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,7348 Sok. No:2 Polis Merkezi Yamanlar,89.84951917031067,False,1.0,1.0,1.0,0.698,0.87,0.97875,0.8771,0.94,0.8,0.868,0.7108,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,7659/2 Sok. No:1/b Postacılar Mah,89.68769326312079,False,1.0,1.0,1.0,0.706,0.87,0.9788,0.8866499999999999,0.94,0.8,0.868,0.7103999999999999,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,8172 Sok. No:90/1 Güzeltepe,89.96150228166948,False,1.0,1.0,1.0,0.705,0.87,0.97855,0.88505,0.94,0.8399999999999999,0.868,0.7108,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,8809 Sok. No:141/a Evka-5,89.8963353244353,False,1.0,1.0,1.0,0.6839999999999999,0.87,0.97385,0.75535,0.94,0.8399999999999999,0.844,0.6804,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,89.94121363142702,False,1.0,1.0,1.0,0.702,0.87,0.97255,0.7968,0.94,0.8399999999999999,0.84,0.6772,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,914 Sok. No.7/a Ufuk Mah,89.93154728390827,False,1.0,1.0,1.0,0.704,0.87,0.94255,0.6819,0.94,0.8399999999999999,0.852,0.8004,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar,90.22263094591634,False,1.0,1.0,1.0,0.905,0.87,0.98135,0.88215,0.94,0.7600000000000001,0.848,0.8172,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,A.i̇pekçi Cd. İle 4040 Sok. Kvs. Yesilova,89.9935317290196,False,1.0,1.0,1.0,0.869,0.87,0.9236,0.405,0.94,0.8,0.832,0.8236,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,Akıncılar Cd. İle 1420 Sok. Kvs. Kahramanlar,89.93327510074594,False,1.0,1.0,1.0,0.742,0.87,0.9627,0.7766,0.94,0.8,0.8280000000000001,0.822,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Alim Dağhan Cd. İle 6716 Sok. Kvs,90.02983373345909,False,1.0,1.0,1.0,0.735,0.87,0.97785,0.8866499999999999,0.94,0.8399999999999999,0.872,0.7096,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Altan Aydin İle 4165 Sok.. Kvs Aktepe,90.14480623672202,False,1.0,1.0,1.0,0.873,0.87,0.9797,0.83265,0.94,0.7600000000000001,0.852,0.8176,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Ankara Cad. İle Atatürk Cad. Kav,89.99691637609915,False,1.0,1.0,1.0,0.792,0.87,0.92325,0.37850000000000006,0.94,0.8,0.8280000000000001,0.8232,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Başak Cd. No:16 Bahçe Cafe İnciralti,89.85178489430011,False,1.0,1.0,1.0,0.8069999999999999,0.87,0.9138,0.474,0.94,0.72,0.848,0.8144,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Dicle Cad. No:88 Aile Sağlığı Merkezi,89.78558389779644,False,1.0,1.0,1.0,0.719,0.87,0.94265,0.69155,0.94,0.8399999999999999,0.852,0.8008,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme,90.0448030571513,False,1.0,1.0,1.0,0.88,0.87,0.9182,0.6469,0.94,0.8,0.8280000000000001,0.8224,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,Eski Izmir Cad. 3959 Kvs Uzundere,90.20204996570351,False,1.0,1.0,1.0,0.896,0.87,0.9797,0.8785499999999999,0.94,0.7600000000000001,0.852,0.8188,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli,90.14713868406261,False,1.0,1.0,1.0,0.866,0.87,0.92555,0.2240000000000001,0.94,0.8,0.8280000000000001,0.8240000000000001,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Hakan Uysal Cad. No:273/1 Çay Mahallesi,89.90573589794887,False,1.0,1.0,1.0,0.722,0.87,0.9796,0.89,0.94,0.8,0.872,0.7103999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Hürriyet Bulvarı No:14/e,89.74615308858975,False,1.0,1.0,1.0,0.743,0.87,0.96395,0.7702,0.94,0.72,0.848,0.8136,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,I.sivri Cd. İle 254 Sok.. Kvs. Kozağaç,90.21598895367116,False,1.0,1.0,1.0,0.875,0.87,0.9218,0.6565,0.94,0.8,0.8280000000000001,0.822,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Kahramanlar Cd. No:2 H. Bayram Camii,90.18077617251136,False,1.0,1.0,1.0,0.895,0.87,0.9704,0.7199,0.94,0.7600000000000001,0.852,0.8176,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,Mithatpaşa Caddesi No:479,89.63991037659454,False,1.0,1.0,1.0,0.794,0.87,0.9191,0.45599999999999996,0.94,0.72,0.848,0.8128,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,Mrk. Bornova Jandarma Komando Ambarlar Yanı,90.0754651223718,False,1.0,1.0,1.0,0.837,0.87,0.8921,0.20400000000000007,0.94,0.8,0.8280000000000001,0.8228,0.92,,1.0,1.0,1.0,,,Good
2024-11-13,R.erkutlu Şehitlik Önü No:290/a Kadifekale,90.04490767336401,False,1.0,1.0,1.0,0.907,0.87,0.97905,0.8702,0.94,0.7600000000000001,0.852,0.8184,0.88,,1.0,1.0,1.0,,,Good
2024-11-13,Türkmenistan Cad. İle 1206 Sok.. Kvs. Evka-1,90.17382307058409,False,1.0,1.0,1.0,0.857,0.87,0.92325,0.6391,0.94,0.8,0.832,0.8224,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,1799 Sok No:14 Bostanlı,88.64401473796526,False,1.0,1.0,1.0,0.33399999999999996,0.87,0.9345,0.8801,0.94,0.6399999999999999,0.908,0.7336,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,273/4 No:6 Aile Sağlığı Merkezi Özkanlar,89.29067658168758,False,1.0,1.0,1.0,0.45399999999999996,0.87,0.97455,0.7985,0.94,0.8,0.896,0.7183999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,34.sok. No:5 Tsm Güzelyalı,89.95644597825984,False,1.0,1.0,1.0,0.926,0.87,0.9648,0.6486000000000001,0.94,0.6399999999999999,0.852,0.8212,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,3586 Sok. No:1 Gürçeşme,89.97250215543933,False,1.0,1.0,1.0,0.901,0.87,0.89835,0.4465,0.94,0.7600000000000001,0.832,0.8232,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,4058 Sok. İle 4056 Sok. Kavşağı,89.78739508607467,False,1.0,1.0,1.0,0.931,0.87,0.98355,0.6388499999999999,0.94,0.6399999999999999,0.848,0.8200000000000001,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,5227 Sok. No:35/c Çamdibi,89.83680496013032,False,1.0,1.0,1.0,0.883,0.87,0.82805,0.5879,0.94,0.6399999999999999,0.852,0.8200000000000001,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,6276 Sok.i̇le 6279 Sok Kavşağı,88.65118428887175,False,1.0,1.0,1.0,0.3370000000000001,0.87,0.9342,0.88035,0.94,0.6399999999999999,0.912,0.7363999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,65/17 Sok. No:45 Yumurtacı Ahmet Camii,89.78703923614088,False,1.0,1.0,1.0,0.766,0.87,0.9617,0.656,0.94,0.72,0.872,0.7968,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,6800 Sok. No:9 Sağlık Ocağı Evka 2,88.55254758638429,False,1.0,1.0,1.0,0.30300000000000016,0.87,0.9409,0.685,0.94,0.6399999999999999,0.908,0.736,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,682/4 Sok. No:2 Gediz,90.2580741447312,False,1.0,1.0,1.0,0.933,0.87,0.98585,0.6464000000000001,0.94,0.7600000000000001,0.8280000000000001,0.8240000000000001,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,8022/1 Sok. No:8/1-b Ataşehir,88.6989575890518,False,1.0,1.0,1.0,0.24,0.87,0.9759,0.75065,0.94,0.7600000000000001,0.8240000000000001,0.666,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,854 Sok No:51/a,89.61353271742547,False,1.0,1.0,1.0,0.727,0.87,0.9833,0.62175,0.94,0.7600000000000001,0.896,0.7676000000000001,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,8790/5 Sok. 9 Eylül Camii Balatçık,88.70958147560661,False,1.0,1.0,1.0,0.245,0.87,0.97585,0.7448,0.94,0.7600000000000001,0.8240000000000001,0.6636,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,8819 Sok. No:13 Egekent,88.68300139567674,False,1.0,1.0,1.0,0.23299999999999998,0.87,0.97555,0.75015,0.94,0.7600000000000001,0.8240000000000001,0.6636,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,89.96835706698296,False,1.0,1.0,1.0,0.931,0.87,0.9859,0.6328499999999999,0.94,0.6399999999999999,0.852,0.8204,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Atatürk Cad. İle Zübeyde Hanim Cad.kavşağı,88.62405122562329,False,1.0,1.0,1.0,0.3360000000000001,0.87,0.9389,0.6561,0.94,0.6399999999999999,0.912,0.7328,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Başarı Cad.i̇le 170. Sok.kavşağı,89.97556483228063,False,1.0,1.0,1.0,0.903,0.87,0.89425,0.44100000000000006,0.94,0.7600000000000001,0.8280000000000001,0.8216,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,Başpehlivan Kara Ali Cad. No:25/a,88.6265889755828,False,1.0,1.0,1.0,0.3360000000000001,0.87,0.9394,0.6779999999999999,0.94,0.6399999999999999,0.912,0.7332000000000001,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Cumhuriyet Meydanı No:16 Işıkkent,89.84853662341497,False,1.0,1.0,1.0,0.89,0.87,0.8190500000000001,0.5638000000000001,0.94,0.6399999999999999,0.848,0.8200000000000001,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik,89.86173581935275,False,1.0,1.0,1.0,0.894,0.87,0.82265,0.5938000000000001,0.94,0.6399999999999999,0.852,0.8184,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Eski Izmir Cad. No:562/a Kahve,89.7859700905999,False,1.0,1.0,1.0,0.93,0.87,0.984,0.6459,0.94,0.6399999999999999,0.848,0.8188,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,Gaziler Cad. No:185 İtfaiye Önü,89.6078587556089,False,1.0,1.0,1.0,0.724,0.87,0.98495,0.62985,0.94,0.7600000000000001,0.896,0.7688,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,Hürriyet Cad. Polis Mer. No:86 Atatürk,89.2803975177913,False,1.0,1.0,1.0,0.45799999999999996,0.87,0.97395,0.6284000000000001,0.94,0.8,0.896,0.7163999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Kazım Dirik Cad. No.46,89.54752437670886,False,1.0,1.0,1.0,0.74,0.87,0.9618,0.66195,0.94,0.72,0.868,0.7968,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,Kemalpaşa Cad. No: 46,89.67786999723722,False,1.0,1.0,1.0,0.899,0.87,0.8942,0.397,0.94,0.6399999999999999,0.852,0.8184,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,90.14678376299217,False,1.0,1.0,1.0,0.899,0.87,0.89255,0.43600000000000005,0.94,0.7600000000000001,0.8280000000000001,0.8236,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,M.pasa Cad. İle Hüseyin Ögütcen Kavşağı,89.76469907208931,False,1.0,1.0,1.0,0.757,0.87,0.96025,0.63985,0.94,0.72,0.872,0.7984,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Sakarya Cad.no:112 Manavkuyu,89.2691410038393,False,1.0,1.0,1.0,0.44400000000000006,0.87,0.97595,0.8069,0.94,0.8,0.896,0.7163999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Selimiye Cad. No:30/b Gültepe,89.99451175131232,False,1.0,1.0,1.0,0.91,0.87,0.8969,0.4625,0.94,0.7600000000000001,0.832,0.8232,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,Ulu Önder Cad. İle Gökdere Cad.kavşağı,89.93852854944888,False,1.0,1.0,1.0,0.919,0.87,0.9669,0.62825,0.94,0.6399999999999999,0.852,0.8196,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Yavuz Cad. 241/C Osmangazi,89.95989321643945,False,1.0,1.0,1.0,0.895,0.87,0.8258,0.5963499999999999,0.94,0.68,0.852,0.8164,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Çanakkale Cad.i̇le 7057 Sok Kavsağıpınarbaşı,89.67767201834863,False,1.0,1.0,1.0,0.894,0.87,0.8158,0.57365,0.94,0.6399999999999999,0.852,0.8184,0.88,,1.0,1.0,1.0,,,Good
2024-11-20,İnönü Cad. İle 100 Sok. Kavşağı,89.96539552907103,False,1.0,1.0,1.0,0.93,0.87,0.9664,0.6463000000000001,0.94,0.6399999999999999,0.852,0.8188,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,İzsu Narlıdere Teknik Amirlik,89.77667034639458,False,1.0,1.0,1.0,0.761,0.87,0.9645,0.66465,0.94,0.72,0.868,0.7979999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-20,Şehitler Cad. No:22 H.mustafa Gökdemir Camii Evka-3,89.95221418398162,False,1.0,1.0,1.0,0.89,0.87,0.8291,0.5724499999999999,0.94,0.7600000000000001,0.812,0.8228,0.88,,1.0,1.0,1.0,,,Good
2024-11-27,113/19 Sok. No:10 İzyuva,90.23070297093372,False,1.0,1.0,1.0,0.887,0.87,0.81365,0.6557999999999999,0.94,0.8,0.8240000000000001,0.8484,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,1620/19 İle 1620/39 Sok. Kavsağı Cengizhan,89.70111510046014,False,1.0,1.0,1.0,0.642,0.87,0.97045,0.6682,0.94,0.8,0.896,0.7484,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,1643/7 Sok. No:8 Adalet Mah,89.70564448826774,False,1.0,1.0,1.0,0.683,0.87,0.9713,0.7125,0.94,0.7600000000000001,0.916,0.7608,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,1754 Sok. No:25 Asm Mevlana,90.2274633575314,False,1.0,1.0,1.0,0.884,0.87,0.8404,0.66035,0.94,0.8,0.8240000000000001,0.8492,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,220 Sok. No:163/b Çamlıkule,90.05153442272334,False,1.0,1.0,1.0,0.879,0.87,0.78775,0.10349999999999993,0.94,0.7600000000000001,0.8200000000000001,0.8456,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,3 İle 3/8 Sok. Kvs. Adatepe,90.13911952089704,False,1.0,1.0,1.0,0.878,0.87,0.79935,0.04049999999999998,0.94,0.8,0.8240000000000001,0.8492,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,3513 İle 3514 Sok. Kvs Levent,89.59801765078548,False,1.0,1.0,1.0,0.6779999999999999,0.87,0.89375,0.7333000000000001,0.94,0.8,0.864,0.822,0.88,,1.0,1.0,1.0,,,Good
2024-11-27,3948/6 Sok. No:2 C.çeşme,90.15479690045443,False,1.0,1.0,1.0,0.919,0.87,0.9702,0.85695,0.94,0.72,0.844,0.8428,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,4969 Sok. No:2/a Çamlık,89.91186441929368,False,1.0,1.0,1.0,0.73,0.87,0.97565,0.81545,0.94,0.8,0.8240000000000001,0.8488,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,514 Sok.. No:3/a Beyazevler,90.23951775319863,False,1.0,1.0,1.0,0.916,0.87,0.9766,0.8362,0.94,0.7600000000000001,0.8200000000000001,0.8468,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,52/74 İle 52/18 Sok. Kvs Esendere,90.14407096992387,False,1.0,1.0,1.0,0.914,0.87,0.97325,0.8624499999999999,0.94,0.72,0.84,0.8408,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,5777 İle 5780 Sok. Kvs. U. Mumcu,90.24761904932026,False,1.0,1.0,1.0,0.919,0.87,0.98065,0.8404,0.94,0.7600000000000001,0.8240000000000001,0.8488,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,6730 Sok. No:6/a Yamaç Mah,89.78271846151648,False,1.0,1.0,1.0,0.717,0.87,0.97195,0.7099,0.94,0.7600000000000001,0.92,0.7612,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,7191 Sok. No:1/a Doğançay,89.56447519220326,False,1.0,1.0,1.0,0.62,0.87,0.96635,0.66895,0.94,0.8399999999999999,0.888,0.7464,0.88,,1.0,1.0,1.0,,,Good
2024-11-27,7348 Sok. No:2 Polis Merkezi Yamanlar,89.36570342345689,False,1.0,1.0,1.0,0.613,0.87,0.9692,0.70655,0.94,0.7600000000000001,0.92,0.7608,0.88,,1.0,1.0,1.0,,,Good
2024-11-27,7659/2 Sok. No:1/b Postacılar Mah,89.57955818257166,False,1.0,1.0,1.0,0.707,0.87,0.9721,0.71395,0.94,0.7600000000000001,0.92,0.7612,0.88,,1.0,1.0,1.0,,,Good
