Location,LastDate,PredictedNextWeekHF,BestModel,ModelFile
Eski Izmir Cad. 3959 Kvs Uzundere,2025-11-12,91.09927726746835,Ridge,ai_outputs\per_location_next_week\models\Eski_Izmir_Cad._3959_Kvs_Uzundere_best_Ridge.pkl
4969 Sok. No:2/a Çamlık,2025-11-12,90.45178668929425,Ridge,ai_outputs\per_location_next_week\models\4969_Sok._No_2_a_Çamlık_best_Ridge.pkl
Kahramanlar Cd. No:2 H. Bayram Camii,2025-11-12,90.40368352440356,Ridge,ai_outputs\per_location_next_week\models\Kahramanlar_Cd._No_2_H._Bayram_Camii_best_Ridge.pkl
682/4 Sok. No:2 Gediz,2025-11-19,90.25381263758099,GradientBoosting,ai_outputs\per_location_next_week\models\682_4_Sok._No_2_Gediz_best_GradientBoosting.pkl
Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,2025-11-19,90.24745178222656,XGBoost,ai_outputs\per_location_next_week\models\Koşuyolu_Cad._Efeler_Mah._No_41_Avni_Naili_Limboz_Camii_best_XGBoost.pkl
3586 Sok. No:1 Gürçeşme,2025-11-19,90.24690675831414,RandomForest,ai_outputs\per_location_next_week\models\3586_Sok._No_1_Gürçeşme_best_RandomForest.pkl
Başarı Cad.i̇le 170. Sok.kavşağı,2025-11-19,90.23694531524772,RandomForest,ai_outputs\per_location_next_week\models\Başarı_Cad.i̇le_170._Sok.kavşağı_best_RandomForest.pkl
R.erkutlu Şehitlik Önü No:290/a Kadifekale,2025-11-12,90.20347605342192,RandomForest,ai_outputs\per_location_next_week\models\R.erkutlu_Şehitlik_Önü_No_290_a_Kadifekale_best_RandomForest.pkl
A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar,2025-11-12,90.17855778738549,RandomForest,ai_outputs\per_location_next_week\models\A.hatboyu_Cd._İle_545_Sok.._Kvs._Akıncılar_best_RandomForest.pkl
3 İle 3/8 Sok. Kvs. Adatepe,2025-11-12,90.17379329004865,GradientBoosting,ai_outputs\per_location_next_week\models\3_İle_3_8_Sok._Kvs._Adatepe_best_GradientBoosting.pkl
I.sivri Cd. İle 254 Sok.. Kvs. Kozağaç,2025-11-12,90.15930682670309,GradientBoosting,ai_outputs\per_location_next_week\models\I.sivri_Cd._İle_254_Sok.._Kvs._Kozağaç_best_GradientBoosting.pkl
220 Sok. No:163/b Çamlıkule,2025-11-12,90.15705635723657,GradientBoosting,ai_outputs\per_location_next_week\models\220_Sok._No_163_b_Çamlıkule_best_GradientBoosting.pkl
Türkmenistan Cad. İle 1206 Sok.. Kvs. Evka-1,2025-11-12,90.13482666015625,XGBoost,ai_outputs\per_location_next_week\models\Türkmenistan_Cad._İle_1206_Sok.._Kvs._Evka-1_best_XGBoost.pkl
4058 Sok. İle 4056 Sok. Kavşağı,2025-11-19,90.12801361083984,XGBoost,ai_outputs\per_location_next_week\models\4058_Sok._İle_4056_Sok._Kavşağı_best_XGBoost.pkl
Ulu Önder Cad. İle Gökdere Cad.kavşağı,2025-11-19,90.12767831520198,RandomForest,ai_outputs\per_location_next_week\models\Ulu_Önder_Cad._İle_Gökdere_Cad.kavşağı_best_RandomForest.pkl
Eski Izmir Cad. No:562/a Kahve,2025-11-19,90.12635803222656,XGBoost,ai_outputs\per_location_next_week\models\Eski_Izmir_Cad._No_562_a_Kahve_best_XGBoost.pkl
İnönü Cad. İle 100 Sok. Kavşağı,2025-11-19,90.12627532006314,RandomForest,ai_outputs\per_location_next_week\models\İnönü_Cad._İle_100_Sok._Kavşağı_best_RandomForest.pkl
Altan Aydin İle 4165 Sok.. Kvs Aktepe,2025-11-12,90.12540062964757,RandomForest,ai_outputs\per_location_next_week\models\Altan_Aydin_İle_4165_Sok.._Kvs_Aktepe_best_RandomForest.pkl
5777 İle 5780 Sok. Kvs. U. Mumcu,2025-11-12,90.12420818891955,GradientBoosting,ai_outputs\per_location_next_week\models\5777_İle_5780_Sok._Kvs._U._Mumcu_best_GradientBoosting.pkl
