Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE,BestModelFile,FeatureRowsUsed
113/19 Sok. No:10 İzyuva,RandomForest,15,3,4,0.41795126967626206,0.18606610082057123,0.15869128595635498,0.0017633983951134823,0.18021176438317354,-11.91399812953894,0.7497640376208818,0.7194290809779554,0.00806746838770382,0.7845683884815173,-17.389755492410686,0.6114187528976398,0.5917735973354503,0.00662362482530441,0.6317764888684181,ai_outputs\per_location_next_week\models\113_19_Sok._No_10_İzyuva_best_RandomForest.pkl,22
1620/19 İle 1620/39 Sok. Kavsağı Cengizhan,XGBoost,15,3,4,0.7600474335497238,0.22001086666932151,0.14762438587373009,0.0016539316790404423,0.08958226333558628,0.17589372911755663,0.2342969549351376,0.1789918742906309,0.002010682182496321,0.11632132923858762,0.19880104948888766,0.17602601623756783,0.12931063602568216,0.0014446269352771492,0.063960070596913,ai_outputs\per_location_next_week\models\1620_19_İle_1620_39_Sok._Kavsağı_Cengizhan_best_XGBoost.pkl,22
1643/7 Sok. No:8 Adalet Mah,GradientBoosting,15,3,4,-5.678821318100269e-05,0.4852541149907543,0.41330740845354985,0.004631009077808029,0.48239762291272825,-0.030031550951840957,0.21024938341950203,0.20662298616301675,0.002312739859731053,0.20269689488810627,-1.108556229536081,0.13949254260916344,0.1265967430682018,0.001419311788315948,0.13376820843007664,ai_outputs\per_location_next_week\models\1643_7_Sok._No_8_Adalet_Mah_best_GradientBoosting.pkl,22
1754 Sok. No:25 Asm Mevlana,XGBoost,15,3,4,0.485373102385949,0.20736709461373987,0.1593522792196647,0.0017722856546974475,0.1598135162228118,-3.758483369553991,0.5924442066958634,0.5263124846435735,0.005896031105132478,0.3495270215069155,-6.375477430782916,0.7498369944536704,0.6978896134792372,0.007831086809428246,0.6569535743250938,ai_outputs\per_location_next_week\models\1754_Sok._No_25_Asm_Mevlana_best_XGBoost.pkl,22
1799 Sok No:14 Bostanlı,RandomForest,14,3,4,0.1389949666743484,0.3115846905275865,0.248038710597001,0.0027833049012707402,0.2074379066022587,-7.964824299810678,0.393522948412605,0.3699287560807581,0.004135665519656594,0.3324698241748507,-0.06755227336654523,0.47796910694952927,0.4355075703293174,0.004875863236272009,0.46477758724671503,ai_outputs\per_location_next_week\models\1799_Sok_No_14_Bostanlı_best_RandomForest.pkl,21
220 Sok. No:163/b Çamlıkule,GradientBoosting,15,3,4,-0.0011339987276219876,0.17761228946265012,0.13721317938034852,0.0015207260254984786,0.10552193451323433,-0.01911152165142438,0.10440679824706725,0.08451238754385788,0.0009369614034994705,0.10532206217240514,-1.9943972428792884,0.18668558931626397,0.16019842117022165,0.0017726203375719519,0.17113231158316466,ai_outputs\per_location_next_week\models\220_Sok._No_163_b_Çamlıkule_best_GradientBoosting.pkl,22
273/4 No:6 Aile Sağlığı Merkezi Özkanlar,RandomForest,14,3,4,0.1957440203402251,0.462780655841754,0.4133507366093312,0.004624117999391345,0.43672861460623125,-0.2318959883033438,0.28239390983336243,0.23468752596142414,0.002626437212536242,0.3104264859131973,-0.1690472704620718,0.5806315332890571,0.4961229599971091,0.005588109856332197,0.4839834436036412,ai_outputs\per_location_next_week\models\273_4_No_6_Aile_Sağlığı_Merkezi_Özkanlar_best_RandomForest.pkl,21
3 İle 3/8 Sok. Kvs. Adatepe,GradientBoosting,15,3,4,-0.001645945803719906,0.16038941227520612,0.12972610483025354,0.0014378048438978715,0.08558155445557247,-0.022982362426763103,0.0973906279457351,0.08668973256186518,0.0009611566203194342,0.1081382508458546,-0.18222097360589662,0.11981517164302308,0.1093103249116325,0.0012109396574718843,0.1039975480389046,ai_outputs\per_location_next_week\models\3_İle_3_8_Sok._Kvs._Adatepe_best_GradientBoosting.pkl,22
34.sok. No:5 Tsm Güzelyalı,GradientBoosting,14,3,3,-0.00024403360547498032,0.30500853889653673,0.22563041751735927,0.0025142406080107377,0.1230907035068185,-0.12974851749176897,0.27474741981336986,0.2733630787911352,0.003046930467895386,0.27038038741314097,-0.18864964880929747,0.30225917963266824,0.2957609554253793,0.0032986092622569706,0.2630189428639085,ai_outputs\per_location_next_week\models\34.sok._No_5_Tsm_Güzelyalı_best_GradientBoosting.pkl,20
3513 İle 3514 Sok. Kvs Levent,XGBoost,15,3,4,0.5957848746465171,0.19132745896247372,0.14078890539030814,0.0015683896058838584,0.08459240716609884,-0.14006979039068468,0.9073242722362738,0.7823768456453214,0.00878571600925015,0.47780269247718365,-46.65939235425822,0.441475398059659,0.4297166925018665,0.004763943777499037,0.3864798867221211,ai_outputs\per_location_next_week\models\3513_İle_3514_Sok._Kvs_Levent_best_XGBoost.pkl,22
